"X020101"	"X020102"	"X020103"	"X020104"	"X020205"	"X020206"	"X020207"	"X020208"	"X020309"	"X020310"	"X020311"	"X020312"	"X040101"	"X040102"	"X040103"	"X040104"	"X040205"	"X040206"	"X040207"	"X040208"	"X040309"	"X040310"	"X040311"	"X040312"
"OTU_1"	88640	111	166433	1468	206	76707	382	57312	30026	28364	7377	14398	299	70146	221	129	42	28	20	41	50	15	27	13
"OTU_100"	0	41	5	13	204	7	8	24	2	10	21	0	0	6	14	1	10	0	2	1	2	7	1	3
"OTU_1000"	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	1	0
"OTU_1007"	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"OTU_1008"	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_101"	0	11	5	5	25	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU_1010"	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1011"	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1013"	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_102"	0	8	0	0	0	0	0	0	0	0	0	0	1	0	1	1322	0	0	0	0	0	1	21	0
"OTU_1026"	0	0	0	2	1	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1027"	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_103"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"OTU_1031"	0	4	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_104"	16	274	80	22	70	395	15	23	15	1331	28	6	1	0	0	0	0	0	0	0	0	0	0	0
"OTU_1040"	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1046"	0	0	0	0	0	4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1048"	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_105"	0	118	5	12	114	21	3	2	7	9	1	2	21	5	6	3	5	10	11	0	21	0	81	597
"OTU_1051"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	2	0	0	0
"OTU_106"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1066"	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_107"	0	36	14	0	61	12	143	58	1	47	4	7	5	2	5	0	29	1	3	0	2	0	0	2
"OTU_1070"	0	0	0	0	4	0	0	0	0	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0
"OTU_1071"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
"OTU_1075"	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1077"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0
"OTU_1078"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3
"OTU_108"	1	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1084"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1085"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU_1087"	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_109"	1	1	10	3	2	29	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1090"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1092"	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
"OTU_1096"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1099"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU_11"	1	215	0	0	0	11	0	0	0	2	98	10	20	2	5	1	1	0	0	1	1	2343	0	0
"OTU_1103"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"OTU_1104"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1105"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1106"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_111"	0	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1112"	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1116"	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_113"	0	16	6	4	62	6	3	430	0	38	0	0	0	9	0	76	17	0	0	0	0	2	0	2
"OTU_114"	3	0	7	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0
"OTU_1148"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1149"	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1153"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1154"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1155"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1156"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1158"	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1160"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1161"	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1162"	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1164"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU_1166"	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1169"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1
"OTU_1170"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1172"	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"OTU_1179"	0	1	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1185"	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1188"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0
"OTU_119"	2	18	3	5	4	0	1312	9	2	0	1	1	0	4	0	0	1	0	1	0	6	14	0	0
"OTU_1190"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1194"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_12"	608	67	107	8	0	12	40	16	15	0	45	74	0	2	2	26	11	18	24	19	31	22	57417	0
"OTU_120"	3	36	0	1	4	24	14	1	9	0	1	22	0	0	0	0	0	0	0	0	0	5	0	0
"OTU_1203"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1205"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1209"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0
"OTU_1210"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1216"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1224"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1235"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"OTU_1240"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1241"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1245"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_125"	1	0	1	12	0	362	1	4	0	0	0	5	55	16	8	0	13	0	0	3	0	3	10	35
"OTU_1256"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"OTU_1257"	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_126"	0	14	5	0	455	22	3	1	0	0	2	0	1	2	0	9	3	0	9	0	5	0	1	43
"OTU_1262"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_127"	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	22	0	0	0	0	3	25	0	1
"OTU_1275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"OTU_128"	3	16	0	416	1	0	7	0	0	11	0	128	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1286"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"OTU_1289"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"OTU_1292"	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1298"	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_13"	27	3237	105	200	261	1635	97	63	156	90	26	18	240	51831	782	160	2484	1181	743	111	6790	211	1047	1259
"OTU_1301"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"OTU_1305"	0	0	2	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
"OTU_1314"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1318"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"OTU_1324"	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU_1331"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"OTU_1337"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1347"	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU_1350"	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1356"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_137"	0	0	1	0	0	0	0	0	0	0	0	0	0	46	0	0	2	0	118	1	0	264	11	0
"OTU_1375"	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
