OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_285	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Phaeosphaeriaceae	 Chaetosphaeronema	 Chaetosphaeronema achilleae
OTU_1008	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	 Hyaloscypha minuta
OTU_1567	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium sp. CBG_I10CCH
OTU_5	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Cladosporiaceae	 Cladosporium	 Cladosporium sp. 5 SG-2017
OTU_1516	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Cystofilobasidiaceae	 Cystofilobasidium	 Cystofilobasidium macerans
OTU_3	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Starmerella	 Starmerella bombicola
OTU_503	Fungi	 Basidiomycota	 Agaricomycetes	 Cantharellales	 unidentified	 unidentified	 uncultured Minimedusa
OTU_522	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Fuscolachnum	 Fuscolachnum misellum
OTU_1878	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia reukaufii
OTU_173	Fungi	 Ascomycota	 Dothideomycetes	 unidentified	 unidentified	 unidentified	 Dothideomycetes sp. A583
OTU_57	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Starmerella	 Candida sp. C6 BR-2016
OTU_603	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Amycosphaerella	 Amycosphaerella africana
OTU_1785	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Sporocadaceae	 Monochaetia	 Monochaetia sp. PQG03
OTU_678	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora proteae
OTU_1582	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 unidentified	 unidentified	 Helotiales sp. JCM 28447
OTU_429	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Cephaloascaceae	 Cephaloascus	 Cephaloascus albidus
OTU_835	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Bulleribasidiaceae	 Dioszegia	 Dioszegia antarctica
