OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU1	0	0	0	3	8	5903	0	2	0	0	2	10	0	26784	34292	31890	0	17610	0	0	0	13	10	2
OTU101	0	0	3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5891	0	0	0	0	0	0
OTU104	0	1160	0	0	0	26	0	0	0	0	1132	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	947	109	580	0	33	104	0	144	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	0	2704	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU109	2409	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	0	0	0	0	0	0	9	0	0	0	0	0	0	6534	0	0	28898	7	0	0	872	2	0	0
OTU113	2262	415	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU115	0	0	0	0	0	0	0	0	0	0	8034	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU116	1985	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU118	0	0	0	0	0	52	0	1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56738	0	0	0	0	0
OTU120	1997	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU124	0	0	0	0	0	0	0	0	0	0	0	0	1803	0	0	0	0	0	0	0	0	0	0	0
OTU125	2563	0	123	0	28	119	3	103	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	0	0	3203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	3429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	15573	0	0	0	0	0	0	0	0	16376	0	0	0	0	0	2	0	0	0	7	0	0	0	0
OTU131	0	0	0	0	3002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	0	0
OTU137	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU139	2661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU140	0	193	0	0	266	333	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU141	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1204	0	2	0	0
OTU142	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU144	0	0	0	0	0	0	0	0	0	1074	0	2285	0	0	0	0	0	0	0	0	0	0	0	0
OTU145	0	0	0	0	0	0	0	0	0	0	0	2244	0	0	0	0	0	0	0	0	0	0	0	0
OTU148	0	0	0	0	216	346	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU15	4604	1817	1525	225	3950	915	4299	3898	0	6101	1034	1345	2	0	0	0	0	0	0	0	0	0	0	0
OTU151	0	0	62	399	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU152	0	363	57	0	232	0	0	43	0	423	43	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU155	0	21	0	76	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0
OTU156	0	0	0	0	0	631	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	0
OTU157	0	0	0	304	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU158	0	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU159	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0	41339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU161	0	0	0	51	260	809	46	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU163	0	0	0	44	0	0	0	0	0	0	141	921	0	0	0	0	0	0	0	0	0	0	0	0
OTU164	0	0	0	26	201	862	51	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU165	0	0	0	352	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU167	18	0	0	31	0	473	8	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0
OTU169	17	0	0	18	0	470	9	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0
OTU172	0	724	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	1353	0	0	0	0	0	66	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU179	649	0	0	0	0	477	0	0	0	158	78	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35039	0	0	0	0	0
OTU182	0	0	0	0	0	0	0	0	0	0	0	1402	0	0	0	0	0	0	0	0	0	0	0	0
OTU183	0	0	0	0	0	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	0	0	0
OTU186	0	0	0	0	0	0	0	0	0	0	1268	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU19	0	3421	5802	13	3701	131	2981	10383	2	3953	1578	3	0	3	0	0	0	0	0	0	2	0	0	0
OTU192	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU194	0	0	0	0	295	0	0	0	0	384	60	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU199	0	0	2	0	0	0	0	0	0	993	0	0	0	0	0	0	0	0	0	3	9	0	0	0
OTU2	2713	19746	46991	108	2051	125	4456	3847	2510	113	741	3640	49	119	78	58	109	28	57	48812	23	26	15	4365
