OTU	X020101	X020102	X020103	X020104	X020205	X020206	X020207	X020208	X020309	X020310	X020311	X020312	X040101	X040102	X040103	X040104	X040205	X040206	X040207	X040208	X040309	X040310	X040312
OTU_1	12878	4273	3910	2550	9261	13641	9914	10695	13074	17244	1712	8859	6432	20829	10221	1936	16489	21689	15274	13476	21990	14072	4224
OTU_10	811	4450	4379	2797	1422	1012	1296	2817	1189	563	1023	1290	2044	672	1068	738	1230	530	845	774	638	568	1070
OTU_100	7	18	140	98	28	19	10	32	5	21	39	18	187	44	18	33	9	4	21	119	25	16	24
OTU_1005	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1010	0	4	0	0	0	8	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1015	0	0	0	0	9	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_102	22	21	18	12	4	3	50	16	2	13	58	11	17	43	32	14	42	24	31	10	8	2	26
OTU_1022	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1026	0	1	1	1	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0
OTU_103	9	145	211	562	56	79	0	25	0	73	168	74	15	41	15	256	129	46	12	41	99	91	112
OTU_1033	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1037	5	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU_1038	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_105	21	0	26	298	0	11	20	103	0	20	129	53	0	0	23	25	5	26	2	47	3	46	56
OTU_1057	0	3	0	2	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0
OTU_1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0
OTU_1063	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
