OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium sp. 2 MSD-2017
OTU_10	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium cf. oxysporum OP 12.d
OTU_100	Fungi	 Ascomycota	 Sordariomycetes	 Coniochaetales	 Coniochaetaceae	 Coniochaeta	 Coniochaeta mutabilis
OTU_1005	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium sp. H4
OTU_1010	Fungi	 Ascomycota	 Sordariomycetes	 Microascales	 Halosphaeriaceae	 Corollospora	 Corollospora fusca
OTU_1015	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Didymellaceae	 Didymella	 Didymella chloroguttulata
OTU_102	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Metarhizium	 Metarhizium marquandii
OTU_1022	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Geastrumia	 Geastrumia sp. N12C11
OTU_1026	Fungi	 Ascomycota	 Sordariomycetes	 Glomerellales	 Glomerellaceae	 Colletotrichum	 Colletotrichum coccodes
OTU_103	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 Retroconis	 Retroconis fusiformis
OTU_1033	Fungi	 Basidiomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Basidiomycota
OTU_1037	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Bionectriaceae	 Clonostachys	 Clonostachys sp. JCM 28554
OTU_1038	Fungi	 Ascomycota	 Eurotiomycetes	 Pyrenulales	 Pyrenulaceae	 Anthracothecium	 Anthracothecium prasinum
OTU_105	Fungi	 Ascomycota	 Eurotiomycetes	 Verrucariales	 Verrucariaceae	 Verrucaria	 Verrucaria placida
OTU_1057	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 Tetracladium	 Tetracladium sp. MG04
OTU_1061	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Dactylonectria	 Dactylonectria torresensis
OTU_1063	Fungi	 Ascomycota	 Dothideomycetes	 unidentified	 unidentified	 unidentified	 Dothideomycetes sp. genotype 719 JMUR-2016
OTU_1066	Fungi	 Basidiomycota	 Tremellomycetes	 Filobasidiales	 Piskurozymaceae	 Solicoccozyma	 Solicoccozyma terricola
OTU_1075	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium sp. JCM 28091
OTU_1076	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Lophiostomataceae	 Lophiostoma	 Lophiostoma sp. OTU1 TS-2013
OTU_1078	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Lasiosphaeriaceae	 unidentified	 uncultured Cercophora
OTU_11	Fungi	 Ascomycota	 Leotiomycetes	 unidentified	 unidentified	 unidentified	 Leotiomycetes sp. OTU31 TS-2013
OTU_111	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Chaetomiaceae	 Chaetomium	 Chaetomium amesii
OTU_1111	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Pleosporaceae	 Alternaria	 Alternaria caespitosa
OTU_1116	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Sordariaceae	 Sordaria	 Sordaria sp. HMUABO 823102
OTU_1119	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Bartaliniaceae	 Truncatella	 Truncatella angustata
OTU_112	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Lasiosphaeriaceae	 unidentified	 uncultured Cercophora
OTU_1123	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Cryptococcaceae	 Cryptococcus	 Cryptococcus sp. YM15-3
OTU_1126	Fungi	 Mucoromycota	 unidentified	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella sp.
OTU_113	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Stachybotryaceae	 Albifimbria	 Albifimbria viridis
OTU_1133	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Didymosphaeriaceae	 Paraphaeosphaeria	 Paraconiothyrium archidendri
OTU_1136	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Mrakiaceae	 Tausonia	 Tausonia pullulans
OTU_1139	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Lasiosphaeriaceae	 Cladorrhinum	 Cladorrhinum samala
OTU_114	Fungi	 Ascomycota	 Sordariomycetes	 Diaporthales	 Schizoparmaceae	 Coniella	 Coniella diplodiopsis
OTU_1141	Fungi	 Basidiomycota	 Tremellomycetes	 Filobasidiales	 Piskurozymaceae	 Solicoccozyma	 Solicoccozyma cf. aeria
OTU_115	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Sporormiaceae	 Preussia	 Preussia typharum
