OTU	X02_0101	x02_0102	X02_0103	X02_0104	X02_0201	X02_0202	X02_0203	X02_0204	X02_0301	X02_0302	X02_0303	X02_0304	X04_0101	X04_0102	X04_0103	X04_0104	X04_0201	X04_0202	X04_0203	X04_0204	X04_0301	X04_0302	X04_0303	X04_0304
OTU1	6600	11196	6270	2442	9627	9482	3167	3085	5528	12538	898	3991	7677	2349	1344	391	2164	2536	1574	824	2821	3740	3907	1175
OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU102	0	0	0	0	2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU109	0	0	0	602	0	0	0	0	0	0	0	0	0	413	0	0	0	21	0	162	0	47	0	130
OTU11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU111	113	0	0	0	0	0	0	0	434	58	0	0	0	0	78	0	0	86	98	0	37	0	225	0
OTU112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU119	0	0	0	0	546	0	326	0	13	0	46	0	0	0	0	0	0	0	0	0	150	0	0	0
OTU120	0	0	0	0	0	0	0	0	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU122	0	0	0	0	0	0	0	0	0	0	0	0	1004	0	0	0	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	2426	840	429	3173	0	1042	0	0	928	3538	0	0	1291	0	635	96	0	338	75	0	812	0	0	0
OTU130	0	0	0	0	0	544	0	836	0	0	0	0	0	0	0	108	0	67	0	0	100	0	0	0
OTU131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU137	0	0	0	0	0	0	217	62	36	0	0	0	0	0	0	0	0	0	435	0	0	0	116	0
OTU138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU14	0	211	0	444	200	219	0	203	117	0	451	0	0	0	0	0	66	0	0	60	0	0	0	43
OTU140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	38	0	41	0	0	0	239	0
OTU141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0
OTU143	0	0	0	0	0	0	0	0	554	0	0	0	0	450	0	0	0	0	733	0	0	0	0	0
OTU144	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU148	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU153	0	281	0	0	64	0	0	0	0	0	0	0	0	0	126	0	0	183	61	0	70	31	0	0
OTU154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU156	0	0	0	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU157	0	0	0	3223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU158	0	99	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	175	0	139	0	0	0	351
OTU159	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0
