OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Amoebozoa	Discosea	Longamoebia	Centramoebida	Acanthamoebidae	Acanthamoeba	Unknown
OTU10	Animalia	Tardigrada	Eutardigrada	Parachela	Unknown	Unknown	Unknown
OTU100	Animalia	Arthropoda	Arachnida	Unknown	Unknown	Unknown
OTU101	Amoebozoa	Tubulinea	Arcellinida	Hyalospheniidae	Nebela	Unknown	Unknown
OTU102	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Philodina	Unknown
OTU109	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown
OTU11	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown
OTU111	Animalia	Arthropoda	Insecta	Hemiptera	Cicadidae	Platypleura	Platypleura capensis
OTU113	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra oxycnida
OTU116	Amoebozoa	Tubulinea	Arcellinida	Hyalospheniidae	Unknown	Unknown	Unknown
OTU120	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Tenuiphantes	Tenuiphantes tenuis
OTU121	Chromista	Stramenopiles	Oomycetes	Albuginales	Unknown	Unknown	Unknown
OTU123	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Macrotrachela	Macrotrachela latior
OTU126	Animalia	Arthropoda	Arachnida	Prostigmata	Eupodidae	Unknown	Unknown
OTU127	Animalia	Arthropoda	Arachnida	Prostigmata	Tarsonemidae	Unknown	Unknown
OTU13	Virus	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
OTU131	Archaeplastida	Rhodophyta	Florideophyceae	Batrachospermales	Unknown	Unknown	Unknown
OTU133	Chromista	Stramenopiles	Oomycetes	Saprolegniales	Unknown	Unknown	Unknown
OTU136	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Alopecosa	Alopecosa barbipes
OTU137	Chromista	Stramenopiles	Oomycetes	Unknown	Unknown	Unknown	Unknown
OTU141	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Unknown
OTU148	Animalia	Arthropoda	Arachnida	Prostigmata	Eupodidae	Unknown	Unknown
OTU151	Chromista	Stramenopiles	Oomycetes	Myzocytiopsidales	Unknown	Unknown	Unknown
OTU154	Fungi	Mucoromycota	Mucoromycotina	Mortierellales	Unknown	Unknown	Unknown 
OTU163	Chromista	Stramenopiles	Oomycetes	Myzocytiopsidales	Unknown	Unknown	Unknown
OTU169	Animalia	Arthropoda	Insecta	Trichoptera	Calocidae	Caenota	Caenota nemorosa
OTU17	Animalia	Rotifera	Eurotatoria	Bdelloidea	Unknown	Unknown	Unknown
OTU172	Animalia	Rotifera	Unknown	Unknown	Unknown	Unknown	Unknown
OTU175	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Philodina	Philodina flaviceps
OTU177	Chromista	Stramenopiles	Oomycetes	Albuginales	Unknown	Unknown	Unknown
OTU18	Animalia	Arthropoda	Unknown	Unknown	Unknown	Unknown	Unknown
OTU182	Chromista	Stramenopiles	Oomycetes	Saprolegniales	Unknown	Unknown	Unknown
OTU184	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Tenuiphantes	Tenuiphantes tenuis
OTU188	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Rotaria	Rotaria tardigrada
OTU192	Chromista	Stramenopiles	Oomycetes	Pythiales	Unknown	Unknown	Unknown
OTU194	Chromista	Stramenopiles	Oomycetes	Pythiales	Unknown	Unknown	Unknown
OTU195	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus kathleenae
OTU197	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Unknown
OTU2	Chromista	Stramenopiles	Oomycetes	Pythiales	Pythiaceae	Unknown	Unknown
OTU203	Animalia	Rotifera	Unknown	Unknown	Unknown	Unknown	Unknown
OTU205	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra vulgaris
OTU215	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Rotaria	Rotaria rotatoria
OTU216	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Pleuretra	Pleuretra lineata
OTU219	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Rotaria	Rotaria sordida
OTU22	Animalia	Arthropoda	Arachnida	Prostigmata	Eupodidae	Unknown	Unknown
OTU224	Animalia	Arthropoda	Insecta	Hemiptera	Unknown	Unknown	Unknown
OTU227	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Macrotrachela	Macrotrachela quadricornifera
OTU229	Animalia	Arthropoda	Insecta	Trichoptera	Hydroptilidae	Neotrichia	Unknown
OTU234	Animalia	Annelida	Clitellata	Haplotaxida	Almidae	Unknown	Unknown
OTU235	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta vaga
OTU237	Animalia	Arthropoda	Arachnida	Unknown	Unknown	Unknown	Unknown
OTU240	Archaeplastida	Rhodophyta	Florideophyceae	Ceramiales	Unknown	Unknown	Unknown
OTU245	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Unknown	Unknown	Unknown
OTU246	Archaeplastida	Rhodophyta	Florideophyceae	Plocamiales	Unknown	Unknown	Unknown
OTU250	Animalia	Rotifera	Unknown	Unknown	Unknown	Unknown	Unknown
OTU251	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Unknown	Unknown	Unknown
OTU253	Chromista	Stramenopiles	Oomycetes	Pythiales	Unknown	Unknown	Unknown
OTU27	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Philodina	Philodina plena
OTU270	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Macrotrachela	Macrotrachela ehrenbergii
OTU28	Animalia	Arthropoda	Arachnida	Prostigmata	Eupodidae	Unknown	Unknown
OTU280	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Rotaria	Rotaria rotatoria
OTU284	Animalia	Rotifera	Eurotatoria	Bdelloidea	Philodinidae	Rotaria	Unknown
OTU288	Animalia	Rotifera	Unknown	Unknown	Unknown	Unknown	Unknown
OTU29	Animalia	Arthropoda	Arachnida	Prostigmata	Eupodidae	Unknown	Unknown
